OBJECTID,EVENT_UNIQUE_ID,OCCURRENCE_YEAR,OCCURRENCE_DATE,OCCURRENCE_TIME,REPORTED_YEAR,REPORTED_DATE,REPORTED_TIME,DIVISION,LOCATION_TYPE,AGE_BIAS,MENTAL_OR_PHYSICAL_DISABILITY,RACE_BIAS,ETHNICITY_BIAS,LANGUAGE_BIAS,RELIGION_BIAS,SEXUAL_ORIENTATION_BIAS,GENDER_BIAS,MULTIPLE_BIAS,PRIMARY_OFFENCE,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,ARREST_MADE
1388,GO-2024214301,2024,1/29/2024 5:00:00 AM,810,2024,1/29/2024 5:00:00 AM,810,D55,Streets/Roadways/Highway,NO,NO,,,,Jewish,,,No,Mischief Under $5000,068,North Riverdale (68),068,North Riverdale (68),No
1389,GO-2024217417,2024,1/29/2024 5:00:00 AM,0,2024,1/29/2024 5:00:00 AM,1507,D52,Public Transportation,NO,NO,,,,Jewish,,,No,Mischief Under $5000,079,University (79),079,University (79),No
1390,GO-2024227971,2024,1/30/2024 5:00:00 AM,2036,2024,1/30/2024 5:00:00 AM,2037,D53,Public Transportation,NO,NO,"Black, South Asian",,,,,,No,Mischief Under $5000,095,Annex (95),095,Annex (95),No
1391,GO-2024233829,2024,1/31/2024 5:00:00 AM,1525,2024,1/31/2024 5:00:00 AM,1525,D52,Other Commercial / Corporate Places ,NO,NO,South Asian,,,Hindu,,,Yes,Criminal Harassment,164,Wellington Place (164),077,Waterfront Communities-The Island (77),No
1392,GO-2024397989,2024,2/1/2024 5:00:00 AM,0,2024,2/22/2024 5:00:00 AM,940,D32,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,,,,Jewish,,,No,Mischief Under $5000,033,Clanton Park (33),033,Clanton Park (33),No
1393,GO-2024250217,2024,2/2/2024 5:00:00 AM,1555,2024,2/2/2024 5:00:00 AM,1555,D13,NA,NO,NO,,German,,,,,No,Mischief Under $5000,094,Wychwood (94),094,Wychwood (94),No
1394,GO-2024256761,2024,2/3/2024 5:00:00 AM,1126,2024,2/3/2024 5:00:00 AM,1346,D51,Streets/Roadways/Highway,NO,NO,,,,Jewish,,,No,Mischief Interfere With Property,072,Regent Park (72),072,Regent Park (72),No
1395,GO-2024263675,2024,2/4/2024 5:00:00 AM,1338,2024,2/4/2024 5:00:00 AM,1357,D41,Other Commercial / Corporate Places ,NO,NO,,,,Muslim,,,No,Robbery,121,Oakridge (121),121,Oakridge (121),Yes
1396,GO-2024269663,2024,2/5/2024 5:00:00 AM,900,2024,2/5/2024 5:00:00 AM,1034,D22,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,Black,,,Jewish,,,Yes,Mischief Under $5000,015,Kingsway South (15),015,Kingsway South (15),No
1397,GO-2024272815,2024,2/5/2024 5:00:00 AM,1600,2024,2/5/2024 5:00:00 AM,1658,D22,Streets/Roadways/Highway,NO,NO,,,,,2Slgbtq+,,No,Mischief Under $5000,016,Stonegate-Queensway (16),016,Stonegate-Queensway (16),No
1398,GO-2024285044,2024,2/7/2024 5:00:00 AM,800,2024,2/7/2024 5:00:00 AM,848,D23,"Open Area, Park or Parking Lot",NO,NO,Black,,,,,,No,Mischief Under $5000,007,Willowridge-Martingrove-Richview (7),007,Willowridge-Martingrove-Richview (7),No
1399,GO-2024300142,2024,2/8/2024 5:00:00 AM,1800,2024,2/9/2024 5:00:00 AM,454,D32,Other Commercial / Corporate Places ,NO,NO,,,,Jewish,,,No,Mischief Under $5000,031,Yorkdale-Glen Park (31),031,Yorkdale-Glen Park (31),No
1400,GO-2024308225,2024,2/9/2024 5:00:00 AM,2317,2024,2/10/2024 5:00:00 AM,149,D22,Other Commercial / Corporate Places ,NO,NO,Black,,,,,,No,Mischief Under $5000,158,Islington (158),014,Islington-City Centre West (14),Yes
1401,GO-2024308782,2024,2/10/2024 5:00:00 AM,200,2024,2/10/2024 5:00:00 AM,1332,D11,Public Transportation,NO,NO,,,,Muslim,,,No,Mischief Under $5000,171,Junction-Wallace Emerson (171),093,Dovercourt-Wallace Emerson-Junction (93),No
1402,GO-2024316881,2024,2/11/2024 5:00:00 AM,1020,2024,2/11/2024 5:00:00 AM,1020,D52,Streets/Roadways/Highway,NO,NO,,,,Jewish,,,No,Mischief Interfere With Property,078,Kensington-Chinatown (78),078,Kensington-Chinatown (78),No
1403,GO-2024321015,2024,2/11/2024 5:00:00 AM,2309,2024,2/11/2024 5:00:00 AM,2309,D32,Other Commercial / Corporate Places ,NO,NO,,,,Jewish,,,No,Mischief Over $5000,031,Yorkdale-Glen Park (31),031,Yorkdale-Glen Park (31),Yes
1404,GO-2024316905,2024,2/11/2024 5:00:00 AM,1023,2024,2/11/2024 5:00:00 AM,1023,D51,Public Transportation,NO,NO,East/Southeast Asian,,,,,,No,Uttering Threats - Bodily Harm,168,Downtown Yonge East (168),075,Church-Yonge Corridor (75),Yes
1405,GO-2024321223,2024,2/11/2024 5:00:00 AM,530,2024,2/11/2024 5:00:00 AM,2309,D32,Other Commercial / Corporate Places ,NO,NO,,,,Jewish,,,No,Mischief Under $5000,031,Yorkdale-Glen Park (31),031,Yorkdale-Glen Park (31),Yes
1406,GO-2024342074,2024,2/14/2024 5:00:00 AM,1530,2024,2/14/2024 5:00:00 AM,1647,D32,Other Commercial / Corporate Places ,NO,NO,,,,Jewish,,,No,Mischief Under $5000,031,Yorkdale-Glen Park (31),031,Yorkdale-Glen Park (31),Yes
1407,GO-2024398311,2024,2/15/2024 5:00:00 AM,1748,2024,2/22/2024 5:00:00 AM,1031,D13,Religious Place of Worship/Cultural Centre,NO,NO,,,,Jewish,,,No,"Mischief To Religious Property, Educational Institutions, Etc.",107,Oakwood Village (107),107,Oakwood Village (107),No
1408,GO-2024402998,2024,2/15/2024 5:00:00 AM,2300,2024,2/22/2024 5:00:00 AM,2125,D55,Public Transportation,NO,NO,East/Southeast Asian,,,,,,No,Assault,066,Danforth (66),066,Danforth (66),No
1409,GO-2024389989,2024,2/15/2024 5:00:00 AM,0,2024,2/21/2024 5:00:00 AM,848,D11,"Open Area, Park or Parking Lot",NO,NO,Black,,,,,,No,Mischief Under $5000,088,High Park North (88),088,High Park North (88),No
1410,GO-2024358104,2024,2/16/2024 5:00:00 AM,1615,2024,2/16/2024 5:00:00 AM,1812,D43,Streets/Roadways/Highway,NO,NO,,Palestinian,,,,,No,Assault,139,Scarborough Village (139),139,Scarborough Village (139),No
1411,GO-2024359044,2024,2/16/2024 5:00:00 AM,1600,2024,2/16/2024 5:00:00 AM,2058,D32,Other Commercial / Corporate Places ,NO,NO,,,,Jewish,,,No,Mischief Under $5000,031,Yorkdale-Glen Park (31),031,Yorkdale-Glen Park (31),Yes
1412,GO-2024355781,2024,2/16/2024 5:00:00 AM,1305,2024,2/16/2024 5:00:00 AM,1309,D22,Public Transportation,NO,NO,Black,,,,,,No,Assault,009,Edenbridge-Humber Valley (9),009,Edenbridge-Humber Valley (9),No
1413,GO-2024366161,2024,2/17/2024 5:00:00 AM,2030,2024,2/17/2024 5:00:00 AM,2134,D32,Other Commercial / Corporate Places ,NO,NO,,,,Jewish,,,No,Mischief Under $5000,031,Yorkdale-Glen Park (31),031,Yorkdale-Glen Park (31),Yes
1414,GO-2024371128,2024,2/18/2024 5:00:00 AM,1624,2024,2/18/2024 5:00:00 AM,2002,D52,Public Transportation,NO,NO,East/Southeast Asian,,,,,,No,Assault,166,St Lawrence-East Bayfront-The Islands (166),077,Waterfront Communities-The Island (77),Yes
1415,GO-2024377947,2024,2/19/2024 5:00:00 AM,1659,2024,2/19/2024 5:00:00 AM,1659,D32,Other Commercial / Corporate Places ,NO,NO,,,,Jewish,,,No,Mischief Under $5000,031,Yorkdale-Glen Park (31),031,Yorkdale-Glen Park (31),Yes
1416,GO-2024379398,2024,2/19/2024 5:00:00 AM,2121,2024,2/19/2024 5:00:00 AM,2121,D55,"Open Area, Park or Parking Lot",NO,NO,,,,Jewish,,,No,Mischief Under $5000,063,The Beaches (63),063,The Beaches (63),No
1417,GO-2024387875,2024,2/20/2024 5:00:00 AM,1917,2024,2/21/2024 5:00:00 AM,503,D32,Other Commercial / Corporate Places ,NO,NO,,,,Jewish,,,No,Mischief Under $5000,031,Yorkdale-Glen Park (31),031,Yorkdale-Glen Park (31),Yes
1418,GO-2024394378,2024,2/21/2024 5:00:00 AM,1841,2024,2/21/2024 5:00:00 AM,2120,D55,Streets/Roadways/Highway,NO,NO,,,,,Gay,,No,Assault,068,North Riverdale (68),068,North Riverdale (68),No
1419,GO-2024397302,2024,2/22/2024 5:00:00 AM,745,2024,2/22/2024 5:00:00 AM,748,D32,Public Transportation,NO,NO,Black,,,,,,No,Assault,039,Bedford Park-Nortown (39),039,Bedford Park-Nortown (39),Yes
1420,GO-2024406880,2024,2/23/2024 5:00:00 AM,1202,2024,2/23/2024 5:00:00 AM,1216,D14,"Apartment Building (Condo, Retirement Buidling, etc.)",NO,NO,,,,Jewish,,,No,Mischief Under $5000,085,South Parkdale (85),085,South Parkdale (85),Yes
